Dutch,English
ik,I
je,you
het,the  
de,the
dat,Which
is,is
een,a
niet,not 
en,and
wat,what
van,from
we,we
in,in
ze,they
hij,he
op,on
te,at
zijn,to be
er,there
maar,but
die,That
heb,have
me,me
met,of
voor,in front of
als,as
ben,am
was,used to be
dit,this
mijn,mine
om,to
aan,at
jij,you
naar,nasty
dan,then
hier,here
weet,know
kan,can
geen,no
nog,yet
moet,must
wil,want
wel,well
ja,Yes
zo,like this
heeft,has
hebben,to have
hem,it
goed,good  
nee,no
waar,Where
nu,now
hoe,how
ga,go
haar,hair
uit,from
doen,to do
ook,also
over,about
bent,are
mij,me
gaan,to go
of,or
kom,bowl
zou,would
al,already
bij,Bee
daar,over there
ons,U.S
jullie,you
hebt,have
gaat,go
iets,something
zal,shall
meer,Lake
waarom,Why
had,had
deze,this one
laat,leave
moeten,should
m'n,my
jou,you
doe,off
wie,Who
kunnen,be able to
alles,everything
denk,think
door,by means of
echt,Real
alleen,alone
oké,Okay
eens,once
dus,So
weg,away
zien,to see
toch,However
man,man
nooit,never
terug,back
laten,to leave
nou,Well
mee,along
misschien,perhaps
even,for a bit
iemand,someone
komt,coming
niets,nothing
zei,said
hou,keep
komen,come
mensen,people
onze,our
nodig,required
tot,until
worden,become
veel,a lot
weten,know
leven,to live
wij,we 
weer,again
gewoon,just
kijk,look
zeggen,say
tijd,time
zeg,say
twee,two
toen,when
tegen,against
zit,sit
net,just
dood,dead
uw,your
wordt,is becoming
hé,Hey
maken,to make
mag,allowed
één,a
z'n,his
omdat,because
gedaan,done
heel,all
af,off
altijd,always
jouw,your
zeker,secure
geef,give
zie,see 
wacht,guard
allemaal,all
jaar,year
doet,is doing
dag,day
zij,she
hun,their
huis,House
vader,father
dank,thanks
dacht,thought
kunt,can
zoals,like
vrouw,female
keer,time
anders,otherwise
andere,Others
willen,want
erg,terribly
spijt,regret
bedankt,thanks
niemand,no one
wilt,want
geld,money
zitten,to sit
niks,nothing
iedereen,everybody
binnen,inside
staat,state
wilde,Savage
zich,himself
beter,better
werk,work
praten,to talk
gezien,seen
zullen,shall
waren,goods
god,God
maak,make
neem,take
vinden,find
vind,find
moeder,mother
kon,could
uur,hour
klaar,finished
genoeg,enough
helpen,help out
oh,Oh
hele,whole
drie,three
vast,fixed
na,after
hallo,Hello
leuk,nice
sorry,Sorry
alle,all
elkaar,each other
toe,at
wist,knew
zegt,say
bedoel,mean
blijf,stay
alsjeblieft,please
lang,long
meneer,sir
ziet,sees
maakt,make
luister,listen
dingen,stuff
mooi,pretty
werd,became
eerste,first
graag,with pleasure
natuurlijk,naturally
houden,to keep
zonder,without
steeds,still
krijgen,to get
grote,great
achter,behind
helemaal,all the way
naam,name
gek,crazy
blijven,stay
onder,below
vriend,friend
geweest,been
kijken,to look
geven,to give
ging,went
vertellen,narrate
ooit,ever
snel,fast
hand,hand
idee,idea
goede,good  
auto,car
kwam,came
verdomme,damn
beetje,bit
moest,had to
kinderen,children
wanneer,when
gebeurd,happened
jongen,boy
bang,anxious
vraag,ask
lijkt,seems
geweldig,awesome
paar,couple
hoor,hear
laatste,last
deed,held
nieuwe,new ones
vragen,to ask
kun,abundance
zag,saw
zorgen,to care
staan,stand
wereld,world
eten,to eat
jongens,boys
enige,any
zelf,yourself
want,because
nemen,to take
heen,to
zo'n,Sun
beste,Best
ken,know
vandaag,Today
zelfs,even
ie,ie
gezegd,said
hadden,had
vertel,tell
eerst,first
gevonden,found it
zoon,son
buiten,Outside
samen,together
denken,think
geloof,believe
morgen,tomorrow
geleden,past
meisje,girl
thuis,At home
denkt,thinks
rustig,Calm
mannen,men
halen,to fetch 
probleem,issue
hen,them
stop,Stop
eigen,own
kleine,little
hoop,heap
wou,wish
vermoord,murdered
elke,each
krijg,get
horen,to belong
gelijk,equal
bijna,almost
zouden,would
open,Open
orde,order
begrijp,understand
hoofd,head
gebeurt,happens
kant,side
vrienden,friends
houdt,holds
eigenlijk,actually
alsof,as if
pak,business suit
geeft,gives
politie,Police
precies,precisely
wachten,to wait
familie,family
verder,further
zat,was sitting
soms,sometimes
werken,to work
bel,call
voel,feel
kind,child
probeer,try
ding,thing
minuten,minute
krijgt,gets
zet,sets
vijf,five
gehad,having
haal,get
gemaakt,created
hè,Hey
manier,way
dagen,to dawn
zoek,Search
heet,is called
volgende,next one
daarom,therefore
gehoord,heard
pas,pass
werkt,works
vanavond,this evening
volgens,according to
best,best
pijn,pain
kans,opportunity
eruit,out
help,Help
plaats,Place
hoeveel,How much
vroeg,early
oude,old
stad,city
zoeken,Search
ogen,eyes
jezelf,yourself
geloven,to believe
moment,moment
kamer,room
schiet,shooting
vier,four
vindt,finds
word,become
agent,agent
slecht,bad
verteld,told
brengen,bring
blij,pleased
hulp,staff
welke,which
blijft,stays
ligt,is
broer,brother
school,school
tussen,among
deur,door
spreken,to speak
plan,plan
dollar,dollar
handen,hands
ergens,somewhere
dr.,Dr.
klopt,beats
breng,bring
dokter,doctor
juist,right
vond,found
praat,talking
prima,fine
betekent,means
soort,kind
zaak,matter
proberen,to attempt
jack,jacket
spelen,to play
lekker,yummy
doden,kill
gebruiken,to use
groot,big
kent,knows
boven,upper
water,water
problemen,issues
land,land
sta,stand
later,later
papa,Daddy
pakken,to grab
week,week
schat,treasure
voordat,before
zoveel,this much
vrij,free
echte,real
stoppen,stop
klootzak,asshole
beginnen,to start
alstublieft,Please
zodat,so that
zorg,concern
mooie,nice
wees,orphan
vermoorden,murder
mis,mass
vooruit,ahead
bellen,to call
dochter,daughter
vrouwen,women
tien,ten
hoeft,needs
lopen,walk
hart,heart
snap,snap
voorbij,past
los,loose
vergeten,to forget
gebeuren,to happen
bloed,blood
druk,pressure
verhaal,story
moeilijk,difficult
hoi,Hi
zes,six
eerder,earlier
neer,down
ervan,of it
bed,bed
nacht,night
bezig,in process
wakker,wake -up
redden,to rescue
klein,small
gekomen,arrived
sinds,ever since
kop,head
zult,will
begrepen,understood
plek,place
veilig,safe
stel,couple
vol,full
nummer,number
waarheid,truth
zoiets,something like this
mevrouw,Mrs
leren,to learn
hetzelfde,same
gaf,gave
baby,baby
baas,boss
gelukkig,happy
meteen,immediately
beneden,down
waarschijnlijk,probably
sterven,die
gezicht,sight
begin,get started
mogelijk,possibly
mama,mom
dicht,closed
zaken,Affairs
liggen,lying down
nieuws,news
ander,other
eraan,there
liefde,love
slapen,to sleep
ver,far
reden,rode
fout,error
vallen,fall
maanden,months
mogen,be allowed to
oud,old
vergeet,forgets
voelt,feel
vent,guy
sir,sir
hoorde,heard
hoort,belongs
klinkt,sounds
terwijl,while
vriendin,female friend
welkom,welcome
team,team
rond,round
president,president
oorlog,war
duidelijk,clear
jaren,years
rest,rest
schuld,debt
avond,evening
eerlijk,honestly
fijn,nice
mond,mouth
buurt,neighbourhood
drinken,drinks
telefoon,phone
per,per
wapen,weapon
liet,let
belangrijk,important
kreeg,got
ouders,parents
stuk,piece
rust,peace
vandaan,from
kennen,know
Jezus,Jesus
deel,part 
baan,track
kapitein,captain
erop,on top
geluk,luck
dezelfde,the same
overal,everywhere
schip,ship
heren,Men
gegeven,given
anderen,others
zeer,very
langs,by
mam,mam
recht,straight
lichaam,body
aardig,friendly
vertrouwen,to trust
ermee,with it
neemt,takes
vanaf,from
vaak,often
boek,book
mezelf,myself
zetten,to make
stil,quiet
ok,OK
kerel,dude
betalen,Pay
geval,case
miljoen,million
tweede,second
haat,hate
hard,hard
inderdaad,indeed
woord,word
stond,was standing
hond,dog
straks,soon
weken,to soften
film,movie
antwoord,answer
veranderen,change
licht,light
houd,loves
pa,pa
tijdens,during the day
lieverd,darling
liever,rather
kwaad,pissed off
ontmoet,meet
nergens,nowhere
gebruikt,used
schatje,darling
verloren,lost
koning,king
nieuw,new
elk,each
erin,there
ontmoeten,Meet
vechten,to fight
voorzichtig,carefully
geworden,have become
enkel,only
kwijt,lost
noemen,to call
valt,fall
prachtig,beautiful
rijden,to drive
zin,sentence
hield,kept
daarna,then
mens,man
schieten,shoot
grappig,funny
stap,step
zichzelf,itself
kantoor,office
wapens,weapons
normaal,normal
slechte,poor
maakte,feature
moord,murder
gebeld,called
ervoor,before
ten,at
heer,gentleman
loopt,runs
einde,end
gegaan,gone
gang,course
vertelde,told
spel,game
informatie,information
frank,Frank
dames,ladies
naartoe,to
allebei,both
leg,put
acht,eight
pap,dad
seks,sex
minder,fewer
gevoel,feeling
trouwen,Marry
nogal,quite
eh,eh
voelen,to feel
begint,begins
plezier,pleasure
meisjes,girls
stuur,send
foto,photo
vreemd,foreign
zomaar,just like that
verkeerd,wrong
zeven,seven
lucht,sky
grond,ground
leeft,lives
nam,grabbed
pardon,excuse me
verwacht,expected
kopen,to buy
koffie,coffee
onderzoek,research
gesproken,spoken
herinner,remember
idioot,idiot
ziekenhuis,Hopital
daarmee,with that
shit,shit
eindelijk,Finally
perfect,perfect
goeie,good
gisteren,yesterday
aarde,soil
contact,Contact
zus,sister
erbij,there
beschermen,to protect
gevangenis,jail
persoon,person
winnen,to win
kracht,power
ziek,ill
omhoog,upwards
beloof,promise
gebruik,usage
hoezo,how so
degene,the one
trek,migration
meen,mean
enkele,couple of
getrouwd,married
gevraagd,sought -after
New York,New York
verdomde,damn
hierheen,here
punt,point
toekomst,future
probeerde,attempted
half,half
leger,army
waard,worth
opnieuw,again
val,fall
vuur,firework
bewijs,evidence
controle,check
stellen,set
tv,TV
loop,run
woorden,words
droom,dream
begrijpen,to understand
eet,eat
bedoelt,intended
onzin,nonsense
serieus,serious
konden,abundance
nietwaar,not true
verlaten,leave
pistool,pistol
gekregen,got
men,men
brengt,brings
fantastisch,fantastic
trots,pride
ziens,see
ongeluk,accident
geheim,secret
vroeger,back in the days
veranderd,changed
eentje,one
werden,be
begon,began
verliezen,losses
probeert,tries
vliegtuig,aeroplane
let,note
slim,smart
juiste,right one
langer,longer
slaap,sleep
lezen,read
ongeveer,about
behalve,except for
meid,girl
oom,uncle
gered,saved
bank,Bank
generaal,general
dienst,employ
tenminste,at least
lief,sweet
noem,call
gedood,killed
vraagt,requires
boos,angry
spullen,stuff
volgen,follow
sturen,send
hemel,heaven
makkelijk,comfortable
ter,ter
genomen,taken
grootste,great
gebeurde,happened
kwamen,arrive
excuseer,excuse
meter,meter
weinig,few
iedere,each
moordenaar,killer
luisteren,listen
begrijpt,understand
gevaar,danger
ieder,everyone
sommige,some
via,through
succes,good luck
vertrekken,leave
muziek,music
gestolen,stolen
meest,most
hoef,hoof
advocaat,lawyer
kijkt,looks
helpt,helps
afspraak,appointment
maand,month
zwarte,black
seconden,second
sterk,strong
foto's,photos
lijken,appear
geest,spirit
gingen,went
straat,street
slechts,only
verkeerde,wrong
slaan,to beat
FBI,FBI
afgelopen,past
hotel,hotel
bekend,familiar
ene,one
ruimte,room
lange,long
trouwens,Incidentally
feest,party
vliegen,fly
boot,boat
meester,master
doel,goal
zolang,so long
regels,lines
stomme,stupid
begonnen,started
zak,bag
absoluut,absolute
spreek,speak
stom,stupid
bestaat,consists
welk,which
gevaarlijk,dangerous
jawel,Yes
mocht,for
goedemorgen,good morning
wilden,wild ones
erger,worse
vreselijk,horrible
zodra,as soon
geraakt,touched
nadat,once
vertrouw,trust
kolonel,colonel
voelde,felt
kleren,clothes
rug,back
naast,next
totdat,until
verliefd,in love
lukt,succeeds
wonen,live
lieve,dear
gaten,holes
